ESSAY_ID,REAL_SCORE,PRED_SCORE
ESSAY_62656,71.45238095238095,76.03142857142856
ESSAY_54719,66.87428571428572,72.54666666666667
ESSAY_38083,83.02666666666667,65.64380952380952
ESSAY_47412,70.47999999999999,57.927619047619054
ESSAY_41754,79.39333333333335,61.62571428571429
ESSAY_41756,76.75333333333333,60.359047619047615
ESSAY_39645,72.13333333333334,72.26
ESSAY_40848,74.94095238095238,78.3295238095238
ESSAY_45388,66.97904761904763,85.31238095238095
ESSAY_35752,39.526666666666664,62.53047619047619
ESSAY_62988,79.94857142857143,81.98095238095239
ESSAY_41580,87.87904761904761,70.06190476190476
ESSAY_38451,75.52761904761905,87.83428571428571
ESSAY_40456,47.126666666666665,68.42857142857142
ESSAY_57225,96.47999999999999,74.91809523809525
ESSAY_45084,83.03904761904762,80.01142857142857
ESSAY_45056,78.71238095238095,76.13142857142857
ESSAY_47662,70.46761904761904,76.63142857142857
ESSAY_48687,95.72571428571429,89.00571428571429
ESSAY_45776,88.63333333333334,85.53619047619048
ESSAY_57135,66.12,84.25809523809524
ESSAY_40934,86.4857142857143,69.06190476190476
ESSAY_38090,87.38666666666666,85.00952380952381
ESSAY_62633,71.17999999999999,74.50666666666666
ESSAY_62625,83.72,76.7247619047619
ESSAY_45566,79.17333333333333,74.17333333333333
ESSAY_45054,86.60095238095239,85.74571428571429
ESSAY_33515,88.14095238095238,85.76095238095238
ESSAY_50277,55.80666666666667,78.02000000000001
ESSAY_46184,78.88,75.27809523809523
ESSAY_45765,83.86666666666666,86.06952380952382
ESSAY_40724,98.16666666666666,89.97238095238095
ESSAY_62818,89.12571428571428,84.73619047619049
ESSAY_40452,56.966666666666676,81.4695238095238
ESSAY_45773,75.69333333333334,60.83904761904762
ESSAY_62660,78.85904761904762,81.66761904761904
ESSAY_62644,68.48761904761905,81.39809523809524
ESSAY_39651,79.61333333333334,85.42761904761906
ESSAY_57142,84.99809523809525,85.22952380952381
ESSAY_62662,67.67714285714285,85.12095238095239
ESSAY_39137,72.34095238095239,78.80666666666666
ESSAY_52794,65.65904761904761,82.78285714285714
ESSAY_66714,54.10666666666667,77.02666666666667
ESSAY_53446,56.88095238095239,75.83142857142857
ESSAY_66222,49.760000000000005,69.84190476190477
ESSAY_40140,52.83428571428571,65.66380952380953
ESSAY_41749,82.27428571428571,65.31714285714285
ESSAY_47700,60.73333333333333,68.38380952380952
ESSAY_45880,85.29142857142857,86.58571428571429
ESSAY_45064,81.02761904761905,73.06
ESSAY_40932,89.95333333333333,82.94952380952381
ESSAY_52891,60.187619047619044,63.29714285714285
ESSAY_53375,62.28666666666667,72.2552380952381
ESSAY_33552,66.17238095238095,75.55619047619048
ESSAY_45747,83.23809523809524,68.53714285714287
ESSAY_79888,59.839999999999996,71.08857142857144
ESSAY_45597,53.46380952380953,56.142857142857146
ESSAY_45066,81.74,77.5447619047619
ESSAY_79893,59.23333333333333,62.69238095238095
ESSAY_54724,74.40666666666667,81.84761904761905
ESSAY_45596,68.41428571428571,82.95428571428572
ESSAY_62669,84.96666666666667,75.06476190476191
ESSAY_39653,62.73333333333333,78.43809523809524
ESSAY_45075,93.34761904761905,83.71619047619048
ESSAY_47084,60.1504761904762,78.96285714285713
ESSAY_39712,45.06952380952381,56.74952380952381
ESSAY_50255,69.49333333333334,82.12952380952382
ESSAY_41762,92.76095238095238,78.54285714285714
ESSAY_53020,71.74571428571429,82.9095238095238
ESSAY_40915,78.49238095238096,75.67999999999999
ESSAY_39201,68.12095238095239,78.0447619047619
ESSAY_57151,73.03428571428572,78.19809523809525
ESSAY_47078,63.32190476190476,81.04095238095239
ESSAY_62685,78.80666666666666,74.51142857142857
ESSAY_39647,58.09333333333333,61.94380952380952
ESSAY_38058,86.55904761904762,71.09333333333333
ESSAY_45686,69.1552380952381,76.02000000000001
ESSAY_33544,79.51904761904761,82.54095238095239
ESSAY_62513,69.00095238095238,81.1047619047619
ESSAY_33529,67.24095238095238,77.48285714285714
ESSAY_62677,69.88285714285715,84.6495238095238
ESSAY_66682,70.63333333333333,66.9552380952381
ESSAY_40922,91.64,73.54666666666667
ESSAY_48703,85.99333333333334,80.31809523809525
ESSAY_57223,96.47999999999999,80.68285714285715
ESSAY_47599,68.61333333333334,81.93619047619049
ESSAY_45044,78.36666666666666,73.03333333333333
ESSAY_41759,85.11333333333334,81.90285714285714
ESSAY_47389,76.83714285714287,67.83047619047619
ESSAY_38452,79.78095238095239,85.53619047619048
ESSAY_50476,79.81238095238095,60.819047619047616
ESSAY_66155,70.74,81.43619047619049
ESSAY_66780,67.23904761904762,63.79714285714285
ESSAY_62690,75.33904761904762,71.82666666666667
ESSAY_50272,62.233333333333334,78.59809523809524
ESSAY_48690,82.03333333333333,78.0447619047619
ESSAY_45079,89.82761904761905,79.79809523809524
ESSAY_45576,54.08095238095238,70.30857142857143
ESSAY_62619,88.68571428571428,89.3942857142857
ESSAY_33563,84.10761904761905,80.71142857142857
ESSAY_35254,67.18333333333334,87.63
ESSAY_80256,74.16222222222223,83.61555555555556
ESSAY_38145,68.44222222222223,87.94666666666667
ESSAY_51327,78.14666666666668,85.79666666666667
ESSAY_38155,81.56888888888889,92.28333333333333
ESSAY_62270,93.28999999999999,92.85111111111111
ESSAY_55624,98.20333333333333,90.28555555555555
ESSAY_51204,72.24333333333334,87.46666666666667
ESSAY_55647,93.76666666666668,89.66111111111111
ESSAY_55654,88.21777777777777,86.71000000000001
ESSAY_62299,94.62222222222222,93.28333333333333
ESSAY_37725,93.60777777777778,89.70333333333333
ESSAY_53307,94.74444444444444,92.53555555555555
ESSAY_62277,90.49111111111111,88.91444444444446
ESSAY_62276,97.55555555555556,90.61111111111111
ESSAY_62254,96.57777777777778,92.25333333333333
ESSAY_55610,98.20333333333333,88.48222222222223
ESSAY_49047,96.22333333333333,92.13666666666668
ESSAY_53311,95.72222222222221,86.03666666666668
ESSAY_62240,95.24555555555555,87.98333333333332
ESSAY_51311,63.64888888888889,88.37777777777778
ESSAY_42818,98.04444444444445,87.79777777777778
ESSAY_49028,100.0,89.67333333333333
ESSAY_51326,91.76222222222222,92.95555555555555
ESSAY_51316,92.44666666666667,93.1211111111111
ESSAY_80212,82.25333333333333,86.93777777777777
ESSAY_62293,96.05222222222221,89.02000000000001
ESSAY_51300,98.35,90.47666666666666
ESSAY_41181,86.07888888888888,61.18555555555556
ESSAY_32760,74.21111111111111,90.08777777777777
ESSAY_42825,98.53333333333333,89.28555555555555
ESSAY_55655,92.77666666666667,89.8088888888889
ESSAY_64690,75.1522222222222,90.19555555555556
ESSAY_51295,96.7,92.95555555555555
ESSAY_51223,48.2011111111111,68.77111111111111
ESSAY_51160,93.09444444444445,91.59555555555555
ESSAY_42756,99.02222222222221,92.49222222222222
ESSAY_63588,81.76444444444445,90.94333333333334
ESSAY_51187,100.0,91.03222222222223
ESSAY_51132,82.4,92.0588888888889
ESSAY_54935,73.90555555555555,78.53222222222223
ESSAY_51232,85.35777777777778,92.10333333333332
ESSAY_51245,98.35,90.31333333333332
ESSAY_53252,92.78888888888889,91.1511111111111
ESSAY_42855,95.73444444444445,90.34333333333333
ESSAY_64685,78.28111111111112,90.62555555555556
ESSAY_51281,100.0,92.31333333333332
ESSAY_42802,97.03,92.49111111111111
ESSAY_41162,91.95777777777778,90.98555555555555
ESSAY_80292,92.11666666666667,87.8477777777778
ESSAY_55644,88.53555555555555,85.42444444444445
ESSAY_77678,59.105555555555554,80.23222222222223
ESSAY_55664,90.51555555555555,89.92888888888889
ESSAY_80204,96.57777777777778,78.82444444444444
ESSAY_41194,96.56555555555556,90.94333333333334
ESSAY_39758,74.51666666666668,82.45
ESSAY_42767,86.37222222222222,83.41555555555556
ESSAY_42774,97.37222222222222,91.28222222222223
ESSAY_62290,88.82888888888888,92.74555555555555
ESSAY_49019,100.0,91.22444444444444
ESSAY_53251,99.02222222222221,91.8488888888889
ESSAY_51243,98.35,91.95333333333333
ESSAY_51257,100.0,92.2988888888889
ESSAY_53314,76.6888888888889,76.18777777777777
ESSAY_51275,96.39444444444445,82.74666666666667
ESSAY_80243,83.19444444444444,91.3588888888889
ESSAY_38871,97.37222222222222,92.22333333333333
ESSAY_63566,93.41222222222223,91.52111111111111
ESSAY_39719,70.27555555555556,82.6588888888889
ESSAY_51271,98.35,90.77333333333334
ESSAY_55635,98.20333333333333,88.94444444444444
ESSAY_51246,100.0,90.61111111111111
ESSAY_80255,75.99555555555555,72.78
ESSAY_36081,82.25333333333333,90.0588888888889
ESSAY_51366,92.66666666666667,92.91111111111111
ESSAY_37740,94.62222222222222,76.38777777777777
ESSAY_37313,92.61777777777777,91.17777777777778
ESSAY_41175,87.71666666666667,86.07777777777778
ESSAY_63594,74.57777777777778,84.3488888888889
ESSAY_42763,97.55555555555556,92.28333333333333
ESSAY_64683,77.26666666666668,90.80555555555556
ESSAY_64100,96.73666666666668,88.07888888888888
ESSAY_42809,98.53333333333333,92.07555555555555
ESSAY_51279,98.35,92.59555555555555
ESSAY_49042,100.0,92.3411111111111
ESSAY_42759,100.0,92.53555555555555
ESSAY_38136,81.3,92.28333333333333
ESSAY_42862,91.32222222222222,90.0911111111111
ESSAY_42889,100.0,90.72999999999999
